MLS_number_condo,maint_fee,avg_income_household_yr,total_sqft,parking,age_of_building,commute_transit,commute_car,near_by_schools,near_by_bars&restaurants,speak_English,speak_Europe_language,speak_Africa_language,edu_no_diploma,edu_trade_cert,edu_coll_or_univ_cert,population_35_49_years,tenancy_property_type_semi_detached,tenancy_property_type_low_rise,bedrooms_plus_field,East End,East York,Etobicoke,Midtown | Central
C5578692,1845.2,142572,1750,1,9.8,52,13,4,89,60,5,0,3,1,14,18,2,28,1,0.0,0.0,0.0,0.0
W5607224,633.3544,131093,749,1,0.5,19,74,2,68,58,15,0,22,4,20,25,2,10,0,0.0,0.0,1.0,0.0
C5601777,442.29,64769,549,1,8.0,43,29,2,91,50,10,0,19,5,17,23,2,16,0,0.0,0.0,0.0,0.0
C5595331,571.67,83466,656,1,12.0,34,18,1,84,38,4,0,5,2,14,17,0,3,1,0.0,0.0,0.0,0.0
C5600785,627.08,104906,696,1,6.0,31,24,0,93,66,6,0,8,3,21,26,0,9,1,0.0,0.0,0.0,0.0
W5590991,522.26,137681,658,1,9.0,24,73,1,53,58,15,0,7,4,27,24,0,2,1,0.0,0.0,1.0,0.0
W5606753,522.33,77357,712,1,5.0,31,59,0,18,50,13,0,18,6,25,21,1,12,0,0.0,0.0,1.0,0.0
C5556884,737.63,161859,796,1,6.0,29,24,0,97,59,8,0,4,2,18,22,0,0,1,0.0,0.0,0.0,0.0
E5534303,1191.75,62379,1099,1,23.0,40,57,0,40,37,0,0,21,4,19,18,1,0,0,0.0,0.0,0.0,0.0
C5605767,501.42,66119,664,1,8.0,38,53,1,84,26,2,0,10,4,21,21,5,2,1,0.0,0.0,0.0,0.0
C5477442,1500.0,250716,1499,2,0.5,35,34,1,92,70,10,0,7,2,17,17,5,11,1,0.0,0.0,0.0,0.0
C5554200,887.79,82512,1016,1,31.0,28,19,3,83,33,3,0,4,2,12,16,0,1,1,0.0,0.0,0.0,0.0
C5578425,2113.32,161859,2450,2,6.0,29,24,0,97,59,8,0,4,2,18,22,0,0,0,0.0,0.0,0.0,0.0
C5596147,478.66,126087,649,1,6.0,30,25,1,92,57,7,0,3,2,15,19,0,0,1,0.0,0.0,0.0,0.0
C5564226,2195.39,102995,2233,2,19.0,31,32,1,96,58,15,0,26,2,11,21,11,50,0,0.0,0.0,0.0,0.0
W5587369,524.41,143962,702,1,9.0,19,79,1,55,58,15,0,6,4,24,26,0,2,0,0.0,0.0,1.0,0.0
W5587675,519.5736,131093,549,1,5.3,19,74,2,68,58,15,0,22,4,20,25,2,10,0,0.0,0.0,1.0,0.0
E5594685,360.15,67757,2185,2,39.6,31,66,0,24,36,0,0,19,5,21,22,2,1,1,0.0,0.0,0.0,0.0
C5599688,366.51,84666,502,1,12.0,33,18,1,86,38,4,0,4,2,13,16,0,2,0,0.0,0.0,0.0,0.0
C5550884,593.73,142425,730,1,10.0,41,19,0,92,75,6,0,3,1,15,17,0,3,0,0.0,0.0,0.0,0.0
C5559270,744.82,98637,1008,1,6.0,39,34,1,95,56,8,0,5,2,16,20,0,1,1,0.0,0.0,0.0,0.0
W5550189,674.1,131093,749,1,0.5,19,74,2,68,58,15,0,22,4,20,25,2,10,1,0.0,0.0,1.0,0.0
C5591547,1196.33,346562,849,1,75.0,31,44,5,86,80,8,0,1,0,16,16,9,37,0,0.0,0.0,0.0,1.0
C5560439,651.83,106616,882,1,1.0,32,28,0,97,73,6,0,11,3,21,27,1,11,0,0.0,0.0,0.0,0.0
E5608421,750.0,54556,983,1,45.0,41,54,0,49,63,0,1,20,6,22,21,1,6,0,0.0,0.0,0.0,0.0
C5529264,6011.200000000001,258624,4250,2,11.0,34,32,1,95,65,8,0,5,3,16,17,2,3,1,0.0,0.0,0.0,0.0
C5601921,515.62,94438,744,1,12.0,25,71,0,18,51,8,0,9,6,24,20,0,1,1,0.0,0.0,0.0,0.0
C5602981,1144.0,142708,1105,1,18.0,42,20,1,90,61,11,0,4,1,15,19,1,2,0,0.0,0.0,0.0,0.0
C5596592,1617.26,131316,1726,2,5.0,42,18,1,91,45,5,0,3,2,16,19,0,3,1,0.0,0.0,0.0,0.0
C5434752,1005.82,317705,1015,1,4.0,33,33,1,95,70,10,0,3,3,14,15,3,5,0,0.0,0.0,0.0,0.0
C5468892,1494.7,235657,1299,1,75.0,43,27,3,92,76,12,0,5,2,18,18,2,7,0,0.0,0.0,0.0,1.0
E5589726,535.0,64004,799,1,51.0,29,67,0,33,17,0,0,23,3,18,17,4,2,0,0.0,0.0,0.0,0.0
C5606393,1084.98,79748,1476,1,37.0,46,44,1,96,18,5,0,5,1,18,21,0,2,1,0.0,0.0,0.0,0.0
C5577091,528.64,118193,849,1,34.0,30,28,1,93,62,11,0,3,2,15,23,0,0,1,0.0,0.0,0.0,0.0
C5606497,533.84,119575,617,1,4.0,26,22,0,97,66,5,0,6,2,18,23,0,3,0,0.0,0.0,0.0,0.0
C5570922,628.36,101814,867,1,7.0,37,33,1,94,62,12,0,4,2,17,20,0,0,0,0.0,0.0,0.0,0.0
C5585457,484.65,81577,619,1,17.0,43,48,1,94,11,2,0,6,2,19,22,0,7,1,0.0,0.0,0.0,0.0
W5595847,1373.84,103288,1699,1,32.0,46,47,0,95,43,16,0,11,2,17,19,0,1,1,0.0,0.0,1.0,0.0
C5598329,269.37,95486,357,1,1.0,34,19,3,92,63,10,0,8,5,18,24,1,14,0,0.0,0.0,0.0,0.0
C5598472,456.62,68377,630,1,14.0,51,44,3,93,18,3,0,6,2,19,19,1,1,1,0.0,0.0,0.0,0.0
E5545059,860.5,72582,499,2,40.5,36,57,0,13,66,9,0,26,6,23,17,0,2,1,0.0,0.0,0.0,0.0
C5593049,1117.62,116829,1073,1,18.0,26,24,1,94,67,7,0,2,3,16,21,0,1,0,0.0,0.0,0.0,0.0
E5553127,866.43,64004,1007,1,24.0,29,67,0,33,17,0,0,23,3,18,17,4,2,1,0.0,0.0,0.0,0.0
E5587270,557.0,49790,749,1,49.0,61,30,0,53,32,0,0,14,5,17,24,0,2,0,0.0,1.0,0.0,0.0
W5565318,649.0,75687,835,1,10.0,44,52,0,89,62,19,0,10,4,24,22,0,0,0,0.0,0.0,1.0,0.0
C5606362,466.63,113759,578,1,13.0,34,28,0,96,69,9,0,5,3,21,28,1,8,1,0.0,0.0,0.0,0.0
C5597919,397.76,140430,949,1,1.2,29,64,1,5,29,8,0,10,3,19,17,1,1,0,0.0,0.0,0.0,0.0
C5588956,508.11,85090,643,1,13.0,34,17,1,86,46,4,0,6,3,16,18,0,4,1,0.0,0.0,0.0,0.0
C5552756,3693.3,295967,3124,2,0.5,43,32,4,59,82,6,0,4,2,21,18,7,23,1,0.0,0.0,0.0,1.0
W5597182,932.95,69998,1304,1,37.0,29,65,0,3,42,33,2,17,9,23,19,1,0,0,0.0,0.0,1.0,0.0
C5551554,567.21,102782,749,1,6.9,28,22,0,93,72,7,0,16,2,18,22,0,8,1,0.0,0.0,0.0,0.0
H4130564,559.7760000000001,143962,595,1,9.0,19,79,1,55,58,15,0,6,4,24,26,0,2,0,0.0,0.0,1.0,0.0
C5568021,1367.0,195319,1215,1,19.0,37,23,1,96,58,6,0,3,1,14,16,1,2,0,0.0,0.0,0.0,0.0
C5555040,925.11,94274,1472,1,7.0,43,16,1,90,49,10,0,3,2,19,21,0,8,2,0.0,0.0,0.0,0.0
E5574329,518.6808,82009,649,1,9.4,26,68,0,58,60,10,0,20,3,26,20,0,1,1,0.0,0.0,0.0,0.0
C5545447,520.53,88732,692,1,15.0,38,16,0,91,42,7,0,4,1,16,17,0,6,0,0.0,0.0,0.0,0.0
C5592485,1302.29,108006,1767,1,12.0,30,23,0,96,69,9,0,7,2,18,25,0,10,1,0.0,0.0,0.0,0.0
W5594620,524.93,52027,1299,1,52.0,44,51,0,33,41,15,0,34,6,18,19,13,4,0,0.0,0.0,0.0,0.0
C5571766,632.94,66111,551,1,3.0,48,48,1,43,46,6,0,11,6,21,21,0,0,0,0.0,0.0,0.0,0.0
C5593975,969.0,275296,749,1,4.0,38,32,2,91,63,7,0,8,1,16,17,9,23,1,0.0,0.0,0.0,0.0
C5562050,381.0,179318,555,1,1.0,38,23,1,92,65,8,0,4,2,15,17,1,2,1,0.0,0.0,0.0,0.0
C5608584,636.04,98637,837,1,6.0,39,34,1,95,56,8,0,5,2,16,20,0,1,0,0.0,0.0,0.0,0.0
E5590551,410.13,131891,1099,1,7.0,22,71,1,20,64,3,0,13,5,26,18,0,5,0,0.0,0.0,0.0,0.0
